26488,1647,_swatch_type_options,"a:1:{s:7:""pa_size"";a:3:{s:4:""type"";s:12:""term_options"";s:4:""size"";s:19:""swatches_image_size"";s:10:""attributes"";a:6:{s:5:""small"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}s:6:""medium"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}s:5:""large"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}s:7:""x-large"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}s:3:""xxl"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}s:4:""xxxl"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}}}}"
26489,1647,total_sales,20
26490,1647,_regular_price,
26491,1647,_sale_price,
26492,1647,_tax_status,taxable
26493,1647,_tax_class,
26494,1647,_visibility,visible
26495,1647,_purchase_note,
26496,1647,_featured,yes
26497,1647,_weight,
26498,1647,_length,
26499,1647,_width,
26500,1647,_height,
26501,1647,_sku,Hero-Uni-Crew
26502,1647,_product_attributes,"a:1:{s:7:""pa_size"";a:6:{s:4:""name"";s:7:""pa_size"";s:5:""value"";s:0:"""";s:8:""position"";s:1:""0"";s:10:""is_visible"";i:0;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}"
26503,1647,_downloadable,no
26504,1647,_virtual,no
26505,1647,_sale_price_dates_from,
26506,1647,_sale_price_dates_to,
26507,1647,_price,19
26508,1647,_stock,0
26509,1647,_stock_status,outofstock
26510,1647,_backorders,yes
26511,1647,_manage_stock,no
26512,1647,_min_variation_price,19
26513,1647,_max_variation_price,21
26514,1647,_min_variation_regular_price,19
26515,1647,_max_variation_regular_price,21
26516,1647,_min_variation_sale_price,
26517,1647,_max_variation_sale_price,
26518,1647,_default_attributes,a:0:{}
26519,1647,product_cost,12
26520,1647,_product_cost,field_30
26521,1647,lifestyle_panel,
26522,1647,_lifestyle_panel,field_45
99014,1647,_wp_old_slug,game-on-mens-tee
102629,1647,_thumbnail_id,2546
27071,1683,_edit_last,1
27072,1683,_edit_lock,1410575172:1
27073,1683,_swatch_type,pickers
27074,1683,_swatch_type_options,"a:1:{s:7:""pa_size"";a:3:{s:4:""type"";s:12:""term_options"";s:4:""size"";s:19:""swatches_image_size"";s:10:""attributes"";a:6:{s:5:""small"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}s:6:""medium"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}s:5:""large"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}s:7:""x-large"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}s:3:""xxl"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}s:4:""xxxl"";a:3:{s:4:""type"";s:5:""color"";s:5:""color"";s:7:""#FFFFFF"";s:5:""image"";s:1:""0"";}}}}"
27075,1683,total_sales,8
27076,1683,_regular_price,
27077,1683,_sale_price,
27078,1683,_tax_status,taxable
27079,1683,_tax_class,
27080,1683,_visibility,visible
27081,1683,_purchase_note,
