815,1,02/08/2013 22:19:35,02/08/2013 22:19:35,,Variation #815 of ScripTee Unisex Basic,,publish,open,open,,product-803-variation-5,,,02/08/2013 22:19:35,02/08/2013 22:19:35,,803,http://gamerosity.my/?product_variation=product-803-variation-5,4,product_variation,,0
823,1,02/08/2013 22:29:42,02/08/2013 22:29:42,,Variation #823 of Dishing Out Smiles &#8211; Mens,,publish,open,open,,product-817-variation,,,02/08/2013 22:29:42,02/08/2013 22:29:42,,817,http://gamerosity.my/?product_variation=product-817-variation,25,product_variation,,0
824,1,02/08/2013 22:29:42,02/08/2013 22:29:42,,Variation #824 of Dishing Out Smiles &#8211; Mens,,publish,open,open,,product-817-variation-2,,,02/08/2013 22:29:42,02/08/2013 22:29:42,,817,http://gamerosity.my/?product_variation=product-817-variation-2,28,product_variation,,0
825,1,02/08/2013 22:29:42,02/08/2013 22:29:42,,Variation #825 of Dishing Out Smiles &#8211; Mens,,publish,open,open,,product-817-variation-3,,,02/08/2013 22:29:42,02/08/2013 22:29:42,,817,http://gamerosity.my/?product_variation=product-817-variation-3,27,product_variation,,0
826,1,02/08/2013 22:29:42,02/08/2013 22:29:42,,Variation #826 of Dishing Out Smiles &#8211; Mens,,publish,open,open,,product-817-variation-4,,,02/08/2013 22:29:42,02/08/2013 22:29:42,,817,http://gamerosity.my/?product_variation=product-817-variation-4,23,product_variation,,0
827,1,02/08/2013 22:29:42,02/08/2013 22:29:42,,Variation #827 of Dishing Out Smiles &#8211; Mens,,publish,open,open,,product-817-variation-5,,,02/08/2013 22:29:42,02/08/2013 22:29:42,,817,http://gamerosity.my/?product_variation=product-817-variation-5,21,product_variation,,0
828,1,02/08/2013 22:29:42,02/08/2013 22:29:42,,Variation #828 of Dishing Out Smiles &#8211; Mens,,publish,open,open,,product-817-variation-6,,,02/08/2013 22:29:42,02/08/2013 22:29:42,,817,http://gamerosity.my/?product_variation=product-817-variation-6,18,product_variation,,0
829,1,02/08/2013 22:29:42,02/08/2013 22:29:42,,Variation #829 of Dishing Out Smiles &#8211; Mens,,publish,open,open,,product-817-variation-7,,,02/08/2013 22:29:42,02/08/2013 22:29:42,,817,http://gamerosity.my/?product_variation=product-817-variation-7,17,product_variation,,0
858,1,02/09/2013 02:22:33,02/09/2013 02:22:33,,Variation #858 of Gamerosity Bracelets,,publish,open,open,,product-582-variation,,,02/09/2013 02:22:33,02/09/2013 02:22:33,,582,http://gamerosity.my/?product_variation=product-582-variation,1,product_variation,,0
859,1,02/09/2013 02:22:33,02/09/2013 02:22:33,,Variation #859 of Gamerosity Bracelets,,publish,open,open,,product-582-variation-2,,,02/09/2013 02:22:33,02/09/2013 02:22:33,,582,http://gamerosity.my/?product_variation=product-582-variation-2,0,product_variation,,0
924,1,02/09/2013 20:05:00,02/09/2013 20:05:00,,Variation #924 of ScripTee Unisex Basic,,publish,open,open,,product-803-variation-3,,,02/09/2013 20:05:00,02/09/2013 20:05:00,,803,http://www.gamerosity.com/?product_variation=product-803-variation-3,0,product_variation,,0
932,1,02/09/2013 20:09:59,02/09/2013 20:09:59,,Variation #932 of We Are Gamerosity &#8211; Men,,publish,open,open,,product-921-variation-7,,,02/09/2013 20:09:59,02/09/2013 20:09:59,,921,http://www.gamerosity.com/?product_variation=product-921-variation-7,160,product_variation,,0
933,1,02/09/2013 20:09:59,02/09/2013 20:09:59,,Variation #933 of We Are Gamerosity &#8211; Men,,publish,open,open,,product-921-variation-8,,,02/09/2013 20:09:59,02/09/2013 20:09:59,,921,http://www.gamerosity.com/?product_variation=product-921-variation-8,159,product_variation,,0
934,1,02/09/2013 20:09:59,02/09/2013 20:09:59,,Variation #934 of We Are Gamerosity &#8211; Men,,publish,open,open,,product-921-variation-9,,,02/09/2013 20:09:59,02/09/2013 20:09:59,,921,http://www.gamerosity.com/?product_variation=product-921-variation-9,158,product_variation,,0
935,1,02/09/2013 20:09:59,02/09/2013 20:09:59,,Variation #935 of We Are Gamerosity &#8211; Men,,publish,open,open,,product-921-variation-10,,,02/09/2013 20:09:59,02/09/2013 20:09:59,,921,http://www.gamerosity.com/?product_variation=product-921-variation-10,157,product_variation,,0
936,1,02/09/2013 20:10:00,02/09/2013 20:10:00,,Variation #936 of We Are Gamerosity &#8211; Men,,publish,open,open,,product-921-variation-11,,,02/09/2013 20:10:00,02/09/2013 20:10:00,,921,http://www.gamerosity.com/?product_variation=product-921-variation-11,156,product_variation,,0
937,1,02/09/2013 20:10:00,02/09/2013 20:10:00,,Variation #937 of We Are Gamerosity &#8211; Men,,publish,open,open,,product-921-variation-12,,,02/09/2013 20:10:00,02/09/2013 20:10:00,,921,http://www.gamerosity.com/?product_variation=product-921-variation-12,155,product_variation,,0
942,1,02/09/2013 20:22:26,02/09/2013 20:22:26,,Variation #942 of ScripTee Junior Basic,,publish,open,open,,product-938-variation,,,02/09/2013 20:22:26,02/09/2013 20:22:26,,938,http://www.gamerosity.com/?product_variation=product-938-variation,1,product_variation,,0
943,1,02/09/2013 20:22:38,02/09/2013 20:22:38,,Variation #943 of ScripTee Junior Basic,,publish,open,open,,product-938-variation-2,,,02/09/2013 20:22:38,02/09/2013 20:22:38,,938,http://www.gamerosity.com/?product_variation=product-938-variation-2,2,product_variation,,0
944,1,02/09/2013 20:22:54,02/09/2013 20:22:54,,Variation #944 of ScripTee Junior Basic,,publish,open,open,,product-938-variation-3,,,02/09/2013 20:22:54,02/09/2013 20:22:54,,938,http://www.gamerosity.com/?product_variation=product-938-variation-3,3,product_variation,,0
945,1,02/09/2013 20:23:03,02/09/2013 20:23:03,,Variation #945 of ScripTee Junior Basic,,publish,open,open,,product-938-variation-4,,,02/09/2013 20:23:03,02/09/2013 20:23:03,,938,http://www.gamerosity.com/?product_variation=product-938-variation-4,0,product_variation,,0
946,1,02/09/2013 20:23:11,02/09/2013 20:23:11,,Variation #946 of ScripTee Junior Basic,,publish,open,open,,product-938-variation-5,,,02/09/2013 20:23:11,02/09/2013 20:23:11,,938,http://www.gamerosity.com/?product_variation=product-938-variation-5,4,product_variation,,0
